,player,defense - 90s,defense - Age,defense - Blocks - Blocks,defense - Blocks - Pass,defense - Blocks - Sh,defense - Challenges - Att,defense - Challenges - Lost,defense - Challenges - Tkl,defense - Challenges - Tkl%,defense - Clr,defense - Err,defense - Int,defense - Nation,defense - Pos,defense - Tackles - Att 3rd,defense - Tackles - Def 3rd,defense - Tackles - Mid 3rd,defense - Tackles - Tkl,defense - Tackles - TklW,defense - Tkl+Int,gca - 90s,gca - Age,gca - GCA - GCA,gca - GCA - GCA90,gca - GCA Types - Def,gca - GCA Types - Fld,gca - GCA Types - PassDead,gca - GCA Types - PassLive,gca - GCA Types - Sh,gca - GCA Types - TO,gca - Nation,gca - Pos,gca - SCA - SCA,gca - SCA - SCA90,gca - SCA Types - Def,gca - SCA Types - Fld,gca - SCA Types - PassDead,gca - SCA Types - PassLive,gca - SCA Types - Sh,gca - SCA Types - TO,keeper - Age,keeper - Nation,keeper - Penalty Kicks - PKA,keeper - Penalty Kicks - PKatt,keeper - Penalty Kicks - PKm,keeper - Penalty Kicks - PKsv,keeper - Penalty Kicks - Save%,keeper - Performance - CS,keeper - Performance - CS%,keeper - Performance - D,keeper - Performance - GA,keeper - Performance - GA90,keeper - Performance - L,keeper - Performance - Save%,keeper - Performance - Saves,keeper - Performance - SoTA,keeper - Performance - W,keeper - Playing Time - 90s,keeper - Playing Time - MP,keeper - Playing Time - Min,keeper - Playing Time - Starts,keeper - Pos,keeper_adv - 90s,keeper_adv - Age,keeper_adv - Crosses - Opp,keeper_adv - Crosses - Stp,keeper_adv - Crosses - Stp%,keeper_adv - Expected - /90,keeper_adv - Expected - PSxG,keeper_adv - Expected - PSxG+/-,keeper_adv - Expected - PSxG/SoT,keeper_adv - Goal Kicks - Att,keeper_adv - Goal Kicks - AvgLen,keeper_adv - Goal Kicks - Launch%,keeper_adv - Goals - CK,keeper_adv - Goals - FK,keeper_adv - Goals - GA,keeper_adv - Goals - OG,keeper_adv - Goals - PKA,keeper_adv - Launched - Att,keeper_adv - Launched - Cmp,keeper_adv - Launched - Cmp%,keeper_adv - Nation,keeper_adv - Passes - Att,keeper_adv - Passes - AvgLen,keeper_adv - Passes - Launch%,keeper_adv - Passes - Thr,keeper_adv - Pos,keeper_adv - Sweeper - #OPA,keeper_adv - Sweeper - #OPA/90,keeper_adv - Sweeper - AvgDist,misc - 90s,misc - Aerial Duels - Lost,misc - Aerial Duels - Won,misc - Aerial Duels - Won%,misc - Age,misc - Nation,misc - Performance - 2CrdY,misc - Performance - CrdR,misc - Performance - CrdY,misc - Performance - Crs,misc - Performance - Fld,misc - Performance - Fls,misc - Performance - Int,misc - Performance - OG,misc - Performance - Off,misc - Performance - PKcon,misc - Performance - PKwon,misc - Performance - Recov,misc - Performance - TklW,misc - Pos,passing - 1/3,passing - 90s,passing - A-xAG,passing - Age,passing - Ast,passing - CrsPA,passing - KP,passing - Long - Att,passing - Long - Cmp,passing - Long - Cmp%,passing - Medium - Att,passing - Medium - Cmp,passing - Medium - Cmp%,passing - Nation,passing - PPA,passing - Pos,passing - PrgP,passing - Short - Att,passing - Short - Cmp,passing - Short - Cmp%,passing - Total - Att,passing - Total - Cmp,passing - Total - Cmp%,passing - Total - PrgDist,passing - Total - TotDist,passing - xA,passing - xAG,passing_types - 90s,passing_types - Age,passing_types - Att,passing_types - Corner Kicks - In,passing_types - Corner Kicks - Out,passing_types - Corner Kicks - Str,passing_types - Nation,passing_types - Outcomes - Blocks,passing_types - Outcomes - Cmp,passing_types - Outcomes - Off,passing_types - Pass Types - CK,passing_types - Pass Types - Crs,passing_types - Pass Types - Dead,passing_types - Pass Types - FK,passing_types - Pass Types - Live,passing_types - Pass Types - Sw,passing_types - Pass Types - TB,passing_types - Pass Types - TI,passing_types - Pos,playing_time - Age,playing_time - MP,playing_time - Nation,playing_time - Playing Time - 90s,playing_time - Playing Time - MP,playing_time - Playing Time - Min,playing_time - Playing Time - Min%,playing_time - Playing Time - Mn/MP,playing_time - Pos,playing_time - Starts - Compl,playing_time - Starts - Mn/Start,playing_time - Starts - Starts,playing_time - Subs - Mn/Sub,playing_time - Subs - Subs,playing_time - Subs - unSub,playing_time - Team Success (xG) - On-Off,playing_time - Team Success (xG) - onxG,playing_time - Team Success (xG) - onxGA,playing_time - Team Success (xG) - xG+/-,playing_time - Team Success (xG) - xG+/-90,playing_time - Team Success - +/-,playing_time - Team Success - +/-90,playing_time - Team Success - On-Off,playing_time - Team Success - PPM,playing_time - Team Success - onG,playing_time - Team Success - onGA,possession - 90s,possession - Age,possession - Carries - 1/3,possession - Carries - CPA,possession - Carries - Carries,possession - Carries - Dis,possession - Carries - Mis,possession - Carries - PrgC,possession - Carries - PrgDist,possession - Carries - TotDist,possession - Nation,possession - Pos,possession - Receiving - PrgR,possession - Receiving - Rec,possession - Take-Ons - Att,possession - Take-Ons - Succ,possession - Take-Ons - Succ%,possession - Take-Ons - Tkld,possession - Take-Ons - Tkld%,possession - Touches - Att 3rd,possession - Touches - Att Pen,possession - Touches - Def 3rd,possession - Touches - Def Pen,possession - Touches - Live,possession - Touches - Mid 3rd,possession - Touches - Touches,shooting - 90s,shooting - Age,shooting - Expected - G-xG,shooting - Expected - np:G-xG,shooting - Expected - npxG,shooting - Expected - npxG/Sh,shooting - Expected - xG,shooting - Nation,shooting - Pos,shooting - Standard - Dist,shooting - Standard - FK,shooting - Standard - G/Sh,shooting - Standard - G/SoT,shooting - Standard - Gls,shooting - Standard - PK,shooting - Standard - PKatt,shooting - Standard - Sh,shooting - Standard - Sh/90,shooting - Standard - SoT,shooting - Standard - SoT%,shooting - Standard - SoT/90,standard - Age,standard - Expected - npxG,standard - Expected - npxG+xAG,standard - Expected - xAG,standard - Expected - xG,standard - MP,standard - Nation,standard - Per 90 Minutes - Ast,standard - Per 90 Minutes - G+A,standard - Per 90 Minutes - G+A-PK,standard - Per 90 Minutes - G-PK,standard - Per 90 Minutes - Gls,standard - Per 90 Minutes - npxG,standard - Per 90 Minutes - npxG+xAG,standard - Per 90 Minutes - xAG,standard - Per 90 Minutes - xG,standard - Per 90 Minutes - xG+xAG,standard - Performance - Ast,standard - Performance - CrdR,standard - Performance - CrdY,standard - Performance - G+A,standard - Performance - G-PK,standard - Performance - Gls,standard - Performance - PK,standard - Performance - PKatt,standard - Playing Time - 90s,standard - Playing Time - MP,standard - Playing Time - Min,standard - Playing Time - Starts,standard - Pos,standard - Progression - PrgC,standard - Progression - PrgP,standard - Progression - PrgR
0,Adam Forshaw,1.8,31-185,3.0,3.0,0.0,6.0,5.0,1.0,16.7,1.0,0.0,0.0,eng ENG,MF,0.0,0.0,2.0,2.0,1.0,2.0,1.8,31-185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eng ENG,MF,4.0,2.26,0.0,0.0,1.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.0,0.0,0.0,31-185,eng ENG,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,MF,8.0,1.8,-0.5,31-185,0.0,0.0,2.0,11.0,4.0,36.4,11.0,10.0,90.9,eng ENG,0.0,MF,8.0,36.0,34.0,94.4,65.0,54.0,83.1,290.0,719.0,0.2,0.5,1.8,31-185,65.0,1.0,1.0,0.0,eng ENG,1.0,54.0,0.0,2.0,4.0,4.0,2.0,61.0,0.0,0.0,0.0,MF,31-185,5.0,eng ENG,1.8,,159.0,5.9,32.0,MF,0,55.0,2,17.0,3,3,-1.55,1.7,5.0,-3.3,-1.86,-2.0,-1.13,-0.67,1.0,1.0,3.0,1.8,31-185,2.0,0.0,44.0,1.0,4.0,0.0,90.0,221.0,eng ENG,MF,0.0,51.0,5.0,4.0,80.0,1.0,20.0,11.0,0.0,14.0,2.0,79.0,56.0,79.0,1.8,31-185,0.0,0.0,0.0,0.0,0.0,eng ENG,MF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31-185,0.0,0.5,0.5,0.0,5.0,eng ENG,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,,159.0,2,MF,0.0,8.0,0.0
1,Archie Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-030,0.0,eng ENG,0.0,,0.0,0.0,0.0,MF,0,0.0,0,0.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-030,0.0,0.0,0.0,0.0,0.0,eng ENG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,MF,0.0,0.0,0.0
2,Brenden Aaronson,23.8,22-171,39.0,36.0,3.0,39.0,27.0,12.0,30.8,6.0,1.0,4.0,us USA,"MF,FW",6.0,13.0,19.0,38.0,14.0,42.0,23.8,22-171,7.0,0.29,1.0,1.0,1.0,3.0,1.0,0.0,us USA,"MF,FW",86.0,3.61,1.0,7.0,16.0,52.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,32.0,7.0,17.9,22-171,us USA,0.0,0.0,2.0,67.0,49.0,13.0,4.0,0.0,5.0,0.0,0.0,116.0,14.0,"MF,FW",42.0,23.8,-1.1,22-171,3.0,4.0,43.0,57.0,23.0,40.4,179.0,137.0,76.5,us USA,15.0,"MF,FW",79.0,386.0,315.0,81.6,730.0,544.0,74.5,2030.0,6911.0,2.5,4.1,23.8,22-171,730.0,15.0,14.0,1.0,us USA,24.0,544.0,0.0,36.0,67.0,79.0,25.0,651.0,1.0,7.0,5.0,"MF,FW",22-171,29.0,us USA,23.8,,2144.0,79.4,74.0,"MF,FW",8,80.0,26,25.0,3,1,-0.55,30.5,42.7,-12.2,-0.51,-16.0,-0.67,-0.83,1.0,32.0,48.0,23.8,22-171,31.0,13.0,623.0,71.0,65.0,40.0,1416.0,3384.0,us USA,"MF,FW",134.0,702.0,92.0,33.0,35.9,44.0,47.8,512.0,65.0,104.0,11.0,1037.0,443.0,1037.0,23.8,22-171,-2.6,-2.6,3.6,0.1,3.6,us USA,"MF,FW",18.4,2.0,0.03,0.13,1.0,0.0,0.0,37.0,1.55,8.0,21.6,0.34,22-171,3.6,7.6,4.1,3.6,29.0,us USA,0.13,0.17,0.17,0.04,0.04,0.15,0.32,0.17,0.15,0.32,3.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,23.8,,2144.0,26,"MF,FW",40.0,79.0,134.0
3,Cody Drameh,0.8,21-124,0.0,0.0,0.0,3.0,1.0,2.0,66.7,1.0,0.0,1.0,eng ENG,DF,1.0,0.0,4.0,5.0,4.0,6.0,0.8,21-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eng ENG,DF,1.0,1.3,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.0,1.0,100.0,21-124,eng ENG,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,DF,2.0,0.8,0.0,21-124,0.0,0.0,0.0,5.0,2.0,40.0,12.0,11.0,91.7,eng ENG,0.0,DF,2.0,21.0,17.0,81.0,38.0,30.0,78.9,153.0,457.0,0.0,0.0,0.8,21-124,38.0,0.0,0.0,0.0,eng ENG,1.0,30.0,0.0,0.0,1.0,7.0,1.0,31.0,0.0,0.0,6.0,DF,21-124,1.0,eng ENG,0.8,,69.0,2.6,69.0,DF,0,69.0,1,0.0,0,5,-0.67,0.5,1.3,-0.8,-1.05,-2.0,-2.61,-2.16,0.0,1.0,3.0,0.8,21-124,1.0,0.0,17.0,1.0,1.0,0.0,10.0,48.0,eng ENG,DF,3.0,23.0,1.0,1.0,100.0,0.0,0.0,11.0,0.0,7.0,1.0,44.0,26.0,44.0,0.8,21-124,0.0,0.0,0.0,0.0,0.0,eng ENG,DF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21-124,0.0,0.0,0.0,0.0,1.0,eng ENG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,69.0,1,DF,0.0,2.0,3.0
4,Crysencio Summerville,12.3,21-163,15.0,13.0,2.0,17.0,9.0,8.0,47.1,9.0,0.0,8.0,nl NED,FW,1.0,11.0,11.0,23.0,16.0,31.0,12.3,21-163,5.0,0.41,1.0,1.0,0.0,3.0,0.0,0.0,nl NED,FW,36.0,2.92,2.0,7.0,1.0,22.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,13.0,4.0,23.5,21-163,nl NED,0.0,0.0,3.0,14.0,34.0,18.0,8.0,0.0,8.0,0.0,1.0,74.0,16.0,FW,16.0,12.3,0.7,21-163,2.0,2.0,11.0,22.0,9.0,40.9,79.0,63.0,79.7,nl NED,11.0,FW,36.0,213.0,172.0,80.8,348.0,260.0,74.7,962.0,3311.0,0.7,1.3,12.3,21-163,348.0,0.0,0.0,0.0,nl NED,14.0,260.0,3.0,3.0,14.0,5.0,1.0,340.0,1.0,1.0,1.0,FW,21-163,22.0,nl NED,12.3,,1108.0,41.0,50.0,FW,5,80.0,10,26.0,12,6,-0.19,15.5,21.8,-6.3,-0.51,-11.0,-0.89,-0.67,1.05,16.0,27.0,12.3,21-163,23.0,13.0,349.0,30.0,37.0,46.0,1151.0,2136.0,nl NED,FW,68.0,369.0,46.0,19.0,41.3,18.0,39.1,256.0,53.0,82.0,7.0,525.0,200.0,525.0,12.3,21-163,1.5,1.5,2.5,0.11,2.5,nl NED,FW,15.0,0.0,0.17,0.44,4.0,0.0,0.0,24.0,1.95,9.0,37.5,0.73,21-163,2.5,3.8,1.3,2.5,22.0,nl NED,0.16,0.49,0.49,0.32,0.32,0.21,0.31,0.11,0.21,0.31,2.0,0.0,3.0,6.0,4.0,4.0,0.0,0.0,12.3,,1108.0,10,FW,46.0,36.0,68.0
5,Daniel James,2.2,25-152,4.0,4.0,0.0,6.0,3.0,3.0,50.0,2.0,0.0,2.0,wls WAL,FW,2.0,1.0,3.0,6.0,2.0,8.0,2.2,25-152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wls WAL,FW,4.0,1.82,0.0,1.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,4.0,0.0,0.0,25-152,wls WAL,0.0,0.0,0.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,FW,1.0,2.2,-0.3,25-152,0.0,1.0,1.0,3.0,0.0,0.0,10.0,5.0,50.0,wls WAL,3.0,FW,3.0,22.0,18.0,81.8,40.0,24.0,60.0,66.0,256.0,0.3,0.3,2.2,25-152,40.0,0.0,0.0,0.0,wls WAL,4.0,24.0,0.0,0.0,6.0,0.0,0.0,40.0,0.0,0.0,0.0,FW,25-152,4.0,wls WAL,2.2,,198.0,7.3,50.0,FW,0,64.0,2,36.0,2,0,0.32,3.9,4.1,-0.2,-0.1,3.0,1.36,2.01,1.25,5.0,2.0,2.2,25-152,2.0,3.0,35.0,1.0,3.0,6.0,112.0,233.0,wls WAL,FW,9.0,39.0,6.0,1.0,16.7,2.0,33.3,32.0,6.0,9.0,1.0,66.0,26.0,66.0,2.2,25-152,-0.3,-0.3,0.3,0.09,0.3,wls WAL,FW,17.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.36,1.0,33.3,0.45,25-152,0.3,0.6,0.3,0.3,4.0,wls WAL,0.0,0.0,0.0,0.0,0.0,0.12,0.27,0.15,0.12,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,,198.0,2,FW,6.0,3.0,9.0
6,Darko Gyabi,0.1,19-052,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eng ENG,FW,0.0,1.0,1.0,2.0,2.0,2.0,0.1,19-052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eng ENG,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.0,0.0,19-052,eng ENG,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,FW,0.0,0.1,0.0,19-052,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,eng ENG,0.0,FW,2.0,1.0,1.0,100.0,4.0,4.0,100.0,17.0,72.0,0.0,0.0,0.1,19-052,4.0,0.0,0.0,0.0,eng ENG,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,FW,19-052,1.0,eng ENG,0.1,,8.0,0.3,8.0,FW,0,0.0,0,8.0,1,12,-1.91,0.1,0.3,-0.2,-2.3,0.0,0.0,0.5,0.0,0.0,0.0,0.1,19-052,0.0,0.0,4.0,0.0,1.0,0.0,3.0,5.0,eng ENG,FW,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,8.0,4.0,8.0,0.1,19-052,-0.1,-0.1,0.1,0.06,0.1,eng ENG,FW,17.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.25,0.0,0.0,0.0,19-052,0.1,0.1,0.0,0.1,1.0,eng ENG,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,0.72,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,8.0,0,FW,0.0,2.0,0.0
7,Degnand Gnonto,12.2,19-157,17.0,16.0,1.0,24.0,15.0,9.0,37.5,7.0,0.0,4.0,it ITA,"FW,MF",4.0,6.0,12.0,22.0,15.0,26.0,12.2,19-157,6.0,0.49,0.0,0.0,1.0,5.0,0.0,0.0,it ITA,"FW,MF",41.0,3.37,0.0,7.0,3.0,24.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,14.0,5.0,26.3,19-157,it ITA,0.0,0.0,5.0,35.0,31.0,22.0,4.0,0.0,3.0,0.0,0.0,65.0,15.0,"FW,MF",12.0,12.2,1.5,19-157,3.0,3.0,18.0,15.0,8.0,53.3,108.0,80.0,74.1,it ITA,15.0,"FW,MF",28.0,222.0,186.0,83.8,418.0,296.0,70.8,1051.0,3790.0,1.8,1.5,12.2,19-157,418.0,2.0,1.0,0.0,it ITA,31.0,296.0,4.0,10.0,35.0,23.0,1.0,391.0,0.0,4.0,11.0,"FW,MF",19-157,17.0,it ITA,12.2,,1095.0,40.6,64.0,"FW,MF",6,79.0,12,29.0,5,4,0.01,13.6,18.4,-4.8,-0.4,-2.0,-0.16,0.56,1.0,15.0,17.0,12.2,19-157,33.0,15.0,403.0,16.0,28.0,59.0,1495.0,2835.0,it ITA,"FW,MF",120.0,425.0,63.0,16.0,25.4,37.0,58.7,328.0,34.0,76.0,6.0,590.0,201.0,590.0,12.2,19-157,0.6,0.6,1.4,0.08,1.4,it ITA,"FW,MF",18.5,0.0,0.12,0.29,2.0,0.0,0.0,17.0,1.4,7.0,41.2,0.58,19-157,1.4,2.9,1.5,1.4,17.0,it ITA,0.25,0.41,0.41,0.16,0.16,0.12,0.24,0.13,0.12,0.24,3.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,12.2,,1095.0,12,"FW,MF",59.0,28.0,120.0
8,Diego Llorente,7.2,29-238,6.0,4.0,2.0,8.0,4.0,4.0,50.0,24.0,2.0,15.0,es ESP,DF,0.0,8.0,5.0,13.0,10.0,28.0,7.2,29-238,1.0,0.14,0.0,0.0,0.0,1.0,0.0,0.0,es ESP,DF,6.0,0.83,0.0,0.0,0.0,5.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,7.0,18.0,72.0,29-238,es ESP,0.0,0.0,1.0,1.0,2.0,6.0,15.0,0.0,0.0,0.0,0.0,57.0,10.0,DF,17.0,7.2,0.0,29-238,0.0,0.0,0.0,59.0,33.0,55.9,228.0,203.0,89.0,es ESP,0.0,DF,27.0,130.0,118.0,90.8,429.0,356.0,83.0,2284.0,6969.0,0.0,0.0,7.2,29-238,429.0,0.0,0.0,0.0,es ESP,2.0,356.0,1.0,0.0,1.0,11.0,10.0,417.0,4.0,0.0,0.0,DF,29-238,8.0,es ESP,7.2,,649.0,24.0,81.0,DF,7,90.0,7,19.0,1,11,0.62,10.9,10.4,0.5,0.07,-1.0,-0.14,0.48,1.0,11.0,12.0,7.2,29-238,1.0,0.0,303.0,1.0,6.0,2.0,721.0,1566.0,es ESP,DF,1.0,312.0,3.0,2.0,66.7,1.0,33.3,15.0,6.0,283.0,59.0,506.0,210.0,506.0,7.2,29-238,-0.7,-0.7,0.7,0.12,0.7,es ESP,DF,12.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.83,0.0,0.0,0.0,29-238,0.7,0.7,0.0,0.7,8.0,es ESP,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.2,,649.0,7,DF,2.0,27.0,1.0
9,Diogo Monteiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-073,0.0,pt POR,0.0,,0.0,0.0,0.0,DF,0,0.0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-073,0.0,0.0,0.0,0.0,0.0,pt POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,DF,0.0,0.0,0.0
